"","occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","w"
"1",1,"10/31/2020","ID900.226001167955","redbreast_sunfish",1,62,3.9,"n","n","n","occ1",1
"2",1,"10/31/2020","ID900.226001167921","redbreast_sunfish",2,124,28.7,"n","n","n","occ1",1
"3",1,"10/31/2020","ID900.226001167945","redbreast_sunfish",2,110,22.1,"n","n","n","occ1",1
"4",1,"10/31/2020","ID900.226001167968","redbreast_sunfish",2,111,20,"n","n","n","occ1",1
"5",1,"10/31/2020","ID900.226001167986","redbreast_sunfish",2,119,29,"n","n","n","occ1",0.978550185968982
"6",1,"10/31/2020","ID900.226001167943","redbreast_sunfish",2,122,30.9,"n","n","n","occ1",1
"7",1,"10/31/2020","ID900.226001167974","redbreast_sunfish",2,102,16.1,"n","n","n","occ1",1
"8",1,"10/31/2020","ID900.226001167934","redbreast_sunfish",2,63,4.3,"n","n","n","occ1",1
"9",1,"10/31/2020","ID900.226001167948","redbreast_sunfish",4,86,9.4,"n","n","n","occ1",1
"10",1,"10/31/2020","ID900.226001167907","redbreast_sunfish",4,93,11.2,"n","n","n","occ1",0.652873696642209
"11",1,"10/31/2020","ID900.226001167989","redbreast_sunfish",4,77,7.4,"n","n","n","occ1",1
"12",1,"10/31/2020","ID900.226001167915","redbreast_sunfish",5,88,11.1,"n","n","n","occ1",1
"13",1,"10/31/2020","ID900.226001167951","redbreast_sunfish",5,130,32.7,"n","n","n","occ1",1
"14",1,"10/31/2020","ID900.226001167954","redbreast_sunfish",5,122,30.8,"n","n","n","occ1",1
"15",1,"10/31/2020","ID900.226001167941","redbreast_sunfish",5,62,3.6,"n","n","n","occ1",1
"16",1,"10/31/2020","ID900.226001167980","redbreast_sunfish",6,128,33.6,"n","n","n","occ1",1
"17",1,"10/31/2020","ID900.226001167912","redbreast_sunfish",6,117,26.8,"n","n","n","occ1",1
"18",1,"10/31/2020","ID900.226001167962","redbreast_sunfish",6,69,5.3,"n","n","n","occ1",1
"19",1,"11/04/2020","ID900.226001167977","redbreast_sunfish",10,145,42.5,"n","n","n","occ1",0.694207313438525
"20",1,"11/04/2020","ID900.226001167928","redbreast_sunfish",10,87,9.9,"n","n","n","occ1",1
"21",1,"11/04/2020","ID900.226001167971","redbreast_sunfish",10,124,28.9,"n","n","n","occ1",1
"22",1,"11/04/2020","ID900.226001167972","redbreast_sunfish",10,86,9.9,"n","n","n","occ1",1
"23",1,"11/04/2020","ID900.226001167997","redbreast_sunfish",10,122,28.9,"n","n","n","occ1",1
"24",1,"11/04/2020","ID900.226001167946","redbreast_sunfish",10,97,14.8,"n","n","n","occ1",1
"25",1,"11/04/2020","ID900.226001167990","redbreast_sunfish",10,136,41.2,"n","n","n","occ1",1
"26",1,"11/04/2020","ID900.226001167949","redbreast_sunfish",10,103,15.6,"n","n","n","occ1",0.821033805252013
"27",1,"11/04/2020","ID900.226001167999","redbreast_sunfish",10,68,4.7,"n","n","n","occ1",1
"28",1,"11/04/2020","ID900.226001167907","redbreast_sunfish",11,89,11.1,"y","n","n","occ1",1
"29",1,"11/04/2020","ID900.226001167923","redbreast_sunfish",11,78,7.8,"n","n","n","occ1",1
"30",1,"11/04/2020","ID900.226001167963","redbreast_sunfish",11,83,10.4,"n","n","n","occ1",0.618971845031254
"31",1,"11/04/2020","ID900.226001167996","redbreast_sunfish",11,75,7.3,"n","n","n","occ1",0.993269957136857
